time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1789156615452000000,3.102,45,1.5,3.12641978263855,24.243000030517578,0,0,225.60000610351562,76.3645279,30.3517848
1789156620481000000,8.131,0,1.5,3.12641978263855,124.822998046875,0,0,225.60000610351562,76.3645279,30.3517848
1789156625553000000,13.203,0,1.5,3.12641978263855,226.26300048828125,0,0,225.60000610351562,76.3645279,30.3517848
1789156630637000000,18.287,0,1.5,3.12641978263855,327.9429931640625,0,0,225.60000610351562,76.3645279,30.3517848
1789156637543000000,25.193,0,1.5,3.8114449977874756,25.634000778198242,0.07589229941368103,0,229.60000610351562,76.3645339,30.3517713
1789156642558000000,30.208000244140624,0,1.5,3.8114449977874756,125.93399810791016,0.07325766980648041,0,229.60000610351562,76.3645352,30.3517683
1789156647680000000,35.33,0,1.5,3.8114449977874756,228.37399291992188,0.07003508508205414,0,229.60000610351562,76.3645365,30.3517656
1789156654877000000,42.527,45,1.5,3.4050774574279785,17,0.9125450253486633,30.120729446411133,226.90000915527344,76.3646226,30.351905
1789156659916000000,47.566,45,1.5,3.4050774574279785,117.77999877929688,0.883009672164917,30.105457305908203,226.90000915527344,76.3646451,30.3519384
1789156665848000000,53.498,45,1.5,3.6744210720062256,20.69700050354004,1.1905978918075562,285.7461853027344,228.00001525878906,76.3644473,30.3519252
1789156670877000000,58.527,45,1.5,3.6744210720062256,121.2770004272461,1.1646208763122559,285.2281188964844,228.00001525878906,76.3643898,30.3519381
1789156675959000000,63.609,45,1.5,3.6744210720062256,222.91700744628906,1.124831199645996,284.92791748046875,228.00001525878906,76.3643356,30.3519501
1789156681021000000,68.671,45,1.5,3.6744210720062256,200,0,0,228.00001525878906,76.3635475,30.3562218
1789156686133000000,73.783,45,1.5,3.6744210720062256,200,0.44617217779159546,189.8097381591797,228.00001525878906,76.3632947,30.3549601
1789156692931000000,80.581,45,1.5,3.6744210720062256,200,0.8654938340187073,189.8097381591797,228.00001525878906,76.363243,30.354702
1789156697997000000,85.647,45,1.5,3.6744210720062256,200,1.1495065689086914,189.8097381591797,228.00001525878906,76.3632172,30.3545735
1789156703147000000,90.797,45,1.5,4.232012748718262,16.83300018310547,0,0,231.70001220703125,76.3643534,30.3514283
1789156708178000000,95.82799975585938,0,1.5,4.232012748718262,117.4520034790039,0,0,231.70001220703125,76.3643534,30.3514283
1789156713265000000,100.915,0,1.5,4.232012748718262,219.1929931640625,0,0,231.70001220703125,76.3643534,30.3514283
1789156718404000000,106.054,0,1.5,4.232012748718262,321.9729919433594,0,0,231.70001220703125,76.3643534,30.3514283
1789156724552000000,112.202,45,1.5,5.488905906677246,28.290000915527344,1.807976245880127,43.97221755981445,225.10000610351562,76.3646206,30.3516673
1789156729570000000,117.21999975585938,45,1.5,5.488905906677246,35.816001892089844,1.4643537998199463,43.97221755981445,225.10000610351562,76.3646532,30.3516964
1789156734662000000,122.31200024414062,45,1.5,5.488905906677246,43.45500183105469,0.7526942491531372,43.97221755981445,225.10000610351562,76.3646609,30.3517033
1789156739746000000,127.39599975585938,45,1.5,5.488905906677246,51.08100128173828,0.20816020667552948,43.97221755981445,225.10000610351562,76.364652,30.3516954
