time,seconds_elapsed,z,y,x
1789156612645307400,0.295307373046875,-0.9074125289916992,-0.890873908996582,0.14883875846862793
1789156612725263400,0.375263427734375,-0.03901052474975586,-1.4236702919006348,1.606764793395996
1789156612785199900,0.435199951171875,-2.2887001037597656,1.7769355773925781,-3.685741424560547
1789156612845136400,0.495136474609375,1.1376752853393555,-1.3789007663726807,0.27053725719451904
1789156612905103600,0.555103515625,0.5994424819946289,0.5495936870574951,-1.0119373798370361
1789156612965040000,0.6150400390625,-0.8200216293334961,1.5931451320648193,-2.251654863357544
1789156613025007000,0.675007080078125,0.37944889068603516,0.8753705024719238,-2.504370927810669
1789156613084882700,0.734882568359375,0.4277935028076172,-0.4488861560821533,0.046523213386535645
1789156613144819200,0.794819091796875,0.4201192855834961,1.750560998916626,-2.644378662109375
1789156613204725200,0.854725341796875,-1.1819047927856445,2.200615167617798,-1.9043595790863037
1789156613264661800,0.914661865234375,-2.982726573944092,-2.255751848220825,4.0225396156311035
1789156613324598300,0.974598388671875,0.7095975875854492,1.5453948974609375,-4.10269021987915
1789156613384504000,1.034504150390625,0.657872200012207,0.20360922813415527,-1.6743074655532837
1789156613444410000,1.09441015625,-0.054854393005371094,0.6915004253387451,-0.8882336616516113
1789156613504346600,1.1543466796875,-0.4375629425048828,0.4951059818267822,-1.2315881252288818
1789156613564252700,1.214252685546875,-0.3343496322631836,0.6541545391082764,-1.3168895244598389
1789156613624219600,1.2742197265625,-0.058648109436035156,-0.10174322128295898,0.1935436725616455
1789156613724134400,1.374134521484375,0.16965293884277344,-0.1166234016418457,0.14682459831237793
1789156613784071000,1.43407080078125,-0.24732112884521484,0.021590471267700195,0.07127028703689575
1789156613844007400,1.49400732421875,0.17124462127685547,-0.04816102981567383,-0.040435194969177246
1789156613903913500,1.55391357421875,-0.2188425064086914,-0.03721451759338379,0.043268680572509766
1789156613963819300,1.6138193359375,0.11451339721679688,-0.08027195930480957,0.11289811134338379
1789156614023725300,1.673725341796875,-0.1394491195678711,0.02393627166748047,-0.017988085746765137
1789156614083661800,1.733661865234375,0.0745096206665039,-0.007565975189208984,-0.0736047625541687
1789156614143598300,1.793598388671875,-0.08905410766601562,-0.042144060134887695,-0.12501192092895508
1789156614203534800,1.853534912109375,-0.050139427185058594,0.03223133087158203,-0.2104116678237915
1789156614263471400,1.913471435546875,-0.12150859832763672,-0.08940267562866211,-0.19952040910720825
1789156614323377400,1.97337744140625,0.04906940460205078,-0.06829953193664551,-0.06241947412490845
1789156614383314000,2.03331396484375,-0.031716346740722656,-0.0076961517333984375,0.1771778166294098
1789156614443250400,2.09325048828125,-0.0708932876586914,-0.038942575454711914,0.07248681783676147
1789156614543165200,2.193165283203125,0.2725944519042969,0.04944133758544922,0.015278339385986328
1789156614643018500,2.2930185546875,-0.047499656677246094,-0.08695054054260254,0.19641676545143127
1789156614742902500,2.392902587890625,-0.27693653106689453,-0.031670570373535156,-0.018344640731811523
1789156614802808600,2.45280859375,0.02978038787841797,0.033608198165893555,-0.1349925994873047
1789156614862775600,2.512775634765625,0.1085205078125,-0.055635690689086914,-0.013108253479003906
1789156614922712000,2.572712158203125,0.27770233154296875,0.033530235290527344,-0.13515722751617432
1789156614982648800,2.63264892578125,-0.1830282211303711,0.33782100677490234,-0.5493023991584778
1789156615042554600,2.6925546875,-0.024888992309570312,0.0044994354248046875,0.08970075845718384
1789156615102460700,2.752460693359375,-0.27628231048583984,-0.036803483963012695,0.07532292604446411
1789156615162427600,2.812427734375,0.12097930908203125,-0.04323387145996094,0.07908731698989868
1789156615222395000,2.872394775390625,0.05776691436767578,0.021381378173828125,-0.12230336666107178
1789156615282361900,2.93236181640625,0.17092514038085938,-0.005517005920410156,-0.0032123327255249023
1789156615342328800,2.992328857421875,-0.04909229278564453,0.05930900573730469,0.09088307619094849
1789156615402265300,3.052265380859375,-0.050713539123535156,0.012161970138549805,-0.025525331497192383
1789156615462201900,3.112201904296875,-0.04810142517089844,0.030602693557739258,-0.1313120722770691
1789156615522138400,3.172138427734375,-0.06612586975097656,-0.021395206451416016,-0.07663542032241821
1789156615582105600,3.232105712890625,-0.12429237365722656,-0.02707052230834961,-0.048889219760894775
1789156615682050600,3.332050537109375,0.07999706268310547,0.02126336097717285,-0.043885231018066406
1789156615741987000,3.391987060546875,-0.030341148376464844,-0.003974437713623047,0.0972943902015686
1789156615801923600,3.451923583984375,-0.048813819885253906,0.015430212020874023,0.07600224018096924
1789156615861890600,3.511890625,0.03677940368652344,0.026765108108520508,-0.06996876001358032
1789156615921827000,3.5718271484375,0.025086402893066406,0.06309032440185547,-0.08916443586349487
1789156615981763600,3.631763671875,0.0037822723388671875,0.007742643356323242,0.04119616746902466
1789156616041700000,3.6917001953125,-0.03785896301269531,-0.011144399642944336,-0.048678815364837646
1789156616101636900,3.751636962890625,-0.12117862701416016,0.032544851303100586,-0.060628533363342285
1789156616161573400,3.811573486328125,0.2171335220336914,-0.046933889389038086,0.023051083087921143
1789156616221510000,3.871510009765625,1.0127458572387695,0.028847455978393555,-0.06169992685317993
1789156616281415700,3.931415771484375,-0.8853073120117188,0.01949596405029297,0.15895098447799683
1789156616341321700,3.99132177734375,0.10508060455322266,-0.022611379623413086,0.07077831029891968
1789156616401289000,4.0512890625,-0.24771881103515625,0.01621842384338379,0.04535198211669922
1789156616461194800,4.11119482421875,0.21764373779296875,-0.06543922424316406,0.06963467597961426
1789156616521100800,4.171100830078125,-0.08292007446289062,-0.053802490234375,0.07260489463806152
1789156616581006800,4.2310068359375,-0.0679311752319336,0.04478192329406738,-0.059035539627075195
1789156616640882400,4.29088232421875,0.07046031951904297,-0.009344100952148438,0.013437390327453613
1789156616700819000,4.35081884765625,0.01790618896484375,-0.0007405281066894531,-0.02439737319946289
1789156616760755500,4.41075537109375,-0.019143104553222656,-0.016178131103515625,-0.01807701587677002
1789156616820661500,4.47066162109375,0.0012445449829101562,-0.024692773818969727,0.059083759784698486
1789156616880567300,4.5305673828125,0.018848419189453125,0.05116105079650879,-0.00269162654876709
1789156616940534500,4.590534423828125,0.05258750915527344,-0.006484270095825195,0.06537073850631714
1789156617000440600,4.650440673828125,-0.0016794204711914062,0.017826318740844727,0.028267741203308105
1789156617060377000,4.710377197265625,0.25705432891845703,-0.06516695022583008,-0.11491638422012329
1789156617120313600,4.770313720703125,-0.30031299591064453,0.040438175201416016,-0.5149232149124146
1789156617180280600,4.830280517578125,-0.6345424652099609,-0.13738107681274414,0.20044833421707153
1789156617240217000,4.890217041015625,0.5985994338989258,0.013878583908081055,0.13489824533462524
1789156617360090000,5.010090087890625,-0.09743976593017578,0.015542984008789062,0.3147199749946594
1789156617420026600,5.070026611328125,-0.4945869445800781,-0.06912636756896973,-0.364715039730072
1789156617479932700,5.1299326171875,0.4780406951904297,-0.19661736488342285,0.046597838401794434
1789156617539899600,5.189899658203125,-0.1475238800048828,0.041007280349731445,-0.014804482460021973
1789156617599866600,5.24986669921875,-0.10565471649169922,0.2034616470336914,-0.1934487223625183
1789156617659803100,5.30980322265625,-0.2286396026611328,0.14937257766723633,-0.09915405511856079
1789156617719723300,5.36972314453125,-0.1470050811767578,0.062056779861450195,-0.1969376802444458
1789156617779659800,5.42965966796875,-0.036683082580566406,0.17649340629577637,-0.3197953701019287
1789156617839596300,5.48959619140625,0.2869844436645508,0.13881397247314453,-0.5434771180152893
1789156617899532800,5.54953271484375,0.09716987609863281,0.196152925491333,-0.10839712619781494
1789156617959469300,5.60946923828125,-0.06074810028076172,0.009456157684326172,0.24545902013778687
1789156618019405800,5.66940576171875,-0.35405540466308594,0.11724734306335449,0.7464961409568787
1789156618079312000,5.729311767578125,-0.5621566772460938,0.4377467632293701,0.087230384349823
1789156618139218000,5.789218017578125,-0.5775995254516602,0.6986565589904785,0.18514060974121094
1789156618199154400,5.849154541015625,0.1200399398803711,0.22713470458984375,0.2815700173377991
1789156618259121400,5.909121337890625,0.47382450103759766,0.21469354629516602,0.1566239595413208
1789156618319058000,5.969057861328125,-0.07726669311523438,0.21478509902954102,-0.3823283016681671
1789156618378964000,6.0289638671875,-0.9191732406616211,0.662412166595459,0.291323184967041
1789156618438870000,6.0888701171875,0.684147834777832,0.1937704086303711,-0.547676146030426
1789156618498776000,6.148776123046875,0.2261791229248047,0.22098636627197266,-0.2818640172481537
1789156618558743000,6.208742919921875,-0.4636964797973633,0.019596099853515625,-0.31344133615493774
1789156618618679600,6.268679443359375,0.1442089080810547,-0.03562307357788086,-0.4064100980758667
1789156618718533000,6.368533203125,0.6551475524902344,-0.1422286033630371,0.008923709392547607
1789156618778469600,6.4284697265625,2.3611488342285156,-1.1159470081329346,-1.3160138130187988
1789156618838406100,6.48840625,1.125396728515625,-0.6308026313781738,-0.827622652053833
1789156618898312200,6.548312255859375,0.4085359573364258,-0.9286623001098633,-0.40541553497314453
1789156618958279200,6.608279052734375,0.42845726013183594,-1.0048184394836426,-0.5801608562469482
1789156619018246100,6.66824609375,-1.28448486328125,0.20871901512145996,0.7359340786933899
1789156619078213400,6.72821337890625,-2.0476341247558594,0.4433004856109619,0.6683829426765442
1789156619138180400,6.788180419921875,-1.5764660835266113,0.38404273986816406,0.26403242349624634
1789156619198147300,6.848147216796875,0.20658588409423828,0.07950925827026367,-0.277398943901062
1789156619258083800,6.908083740234375,1.2324018478393555,0.03799104690551758,0.16122764348983765
1789156619318020400,6.968020263671875,-0.6250438690185547,0.837315559387207,1.177192211151123
1789156619377987300,7.0279873046875,1.0159378051757812,0.07271814346313477,0.8113166093826294
1789156619437954600,7.08795458984375,0.6398525238037109,0.44124913215637207,0.7811036109924316
1789156619497891000,7.14789111328125,-0.4728126525878906,0.40187835693359375,0.8160051107406616
1789156619557827600,7.20782763671875,-0.7402000427246094,0.017999649047851562,0.6179184913635254
1789156619617794600,7.267794677734375,-1.6846299171447754,-0.16036605834960938,0.32163509726524353
1789156619677731000,7.32773095703125,-0.9761333465576172,-0.0705113410949707,0.24903081357479095
1789156619737667600,7.38766748046875,0.4324455261230469,0.13815784454345703,-0.7018297910690308
1789156619797604000,7.44760400390625,0.8610897064208984,0.5452485084533691,-0.471950888633728
1789156619857540600,7.50754052734375,-0.27700328826904297,0.7881464958190918,-0.4521350860595703
1789156619917477000,7.56747705078125,1.560297966003418,0.06827402114868164,0.9507710933685303
1789156619977413600,7.62741357421875,0.9145107269287109,-1.0838687419891357,-1.568528413772583
1789156620037380900,7.687380859375,-0.33730411529541016,-0.7334208488464355,-0.399106502532959
1789156620097347800,7.747347900390625,-0.4968719482421875,-1.129133701324463,-0.5014077425003052
1789156620157284400,7.807284423828125,-0.43256092071533203,-1.0143704414367676,-0.16641080379486084
1789156620217251300,7.867251220703125,-0.3998136520385742,-0.30759286880493164,0.10353070497512817
1789156620277187800,7.927187744140625,-0.8626446723937988,0.042496681213378906,-0.08514440059661865
1789156620337185500,7.987185546875,1.0072011947631836,0.23105335235595703,0.6117005348205566
1789156620397122000,8.0471220703125,0.6236629486083984,0.2877054214477539,0.17489510774612427
1789156620457058600,8.10705859375,1.5089855194091797,0.08700323104858398,1.9823169708251953
1789156620516964600,8.166964599609376,1.9027795791625977,-0.5565836429595947,-0.12680572271347046
1789156620576901000,8.226901123046876,0.18337726593017578,-0.18793296813964844,0.6691349744796753
1789156620636807000,8.286806884765625,-1.567582130432129,-0.2876713275909424,1.2084084749221802
1789156620696743400,8.346743408203125,-2.094944953918457,0.24301862716674805,0.9192171096801758
1789156620756710700,8.406710693359376,-0.7019805908203125,0.35132265090942383,0.6010692119598389
1789156620816616700,8.46661669921875,0.14731788635253906,0.2242450714111328,-0.11053188145160675
1789156620876553200,8.52655322265625,1.3549156188964844,0.16474103927612305,-0.35673120617866516
1789156620936520200,8.586520263671876,0.6315631866455078,0.3238487243652344,-1.3014850616455078
1789156620996487200,8.646487060546875,2.806576728820801,-0.5525026321411133,-0.24127037823200226
1789156621056423700,8.706423583984375,0.7455787658691406,-0.9267871379852295,-1.5908489227294922
1789156621116329700,8.766329833984376,-0.03266143798828125,-0.8959333896636963,-0.4107609689235687
1789156621176266200,8.826266357421876,-0.26718616485595703,-1.1355109214782715,-0.11674290150403976
1789156621276211200,8.926211181640625,-1.5016303062438965,-0.7767333984375,-0.3792218267917633
1789156621336147700,8.986147705078125,0.07580947875976562,-0.2511873245239258,-0.047210559248924255
1789156621396084500,9.04608447265625,2.1769943237304688,-0.6789226531982422,-0.3778979182243347
1789156621535977000,9.18597705078125,1.608973503112793,-1.7447130680084229,0.9408650398254395
1789156621595913500,9.24591357421875,1.8420391082763672,-1.4501855373382568,-0.7878633737564087
1789156621655850000,9.30585009765625,-1.2654619216918945,-0.77823805809021,1.4836007356643677
1789156621715817000,9.36581689453125,-2.7396440505981445,-0.6471381187438965,0.543788492679596
1789156621775753500,9.42575341796875,-1.5114893913269043,-0.2948575019836426,0.525498628616333
1789156621835659500,9.485659423828125,-1.1376595497131348,0.2758622169494629,-0.012003690004348755
1789156621895626500,9.54562646484375,1.0670032501220703,0.5052213668823242,-0.022549569606781006
1789156621955532500,9.605532470703125,0.7537775039672852,0.36481380462646484,-2.0140299797058105
1789156622015499500,9.66549951171875,3.981130599975586,-0.006424903869628906,-0.11491256952285767
1789156622075466800,9.725466796875,1.3123245239257812,-0.9208898544311523,-2.1524813175201416
1789156622135372800,9.785372802734376,0.24045181274414062,-0.49658966064453125,-0.42113161087036133
1789156622195339800,9.84533984375,-0.3190956115722656,-1.2854416370391846,0.07174812257289886
1789156622255306800,9.905306640625,-1.5772638320922852,-1.6006507873535156,-1.4778493642807007
1789156622315243300,9.9652431640625,-0.8897733688354492,-1.1046459674835205,-0.30777841806411743
1789156622375179800,10.0251796875,0.014531135559082031,-0.8615412712097168,-0.3945524990558624
1789156622435116300,10.0851162109375,1.0088176727294922,-0.6981973648071289,0.19578129053115845
1789156622495052800,10.145052734375,1.0583200454711914,-0.12145614624023438,0.9400065541267395
1789156622554989300,10.2049892578125,3.995298385620117,-1.5891368389129639,-0.7756167650222778
1789156622614925800,10.26492578125,2.0588598251342773,-1.5065946578979492,-0.9031556844711304
1789156622674893000,10.32489306640625,-0.7352533340454102,-0.6250467300415039,1.2718020677566528
1789156622734860000,10.384860107421876,-1.4234795570373535,-0.7098369598388672,1.0139497518539429
1789156622794796000,10.444796142578125,-1.235323429107666,-0.5806388854980469,0.8748879432678223
1789156622914638600,10.564638671875,0.12435436248779297,0.05803489685058594,-0.13367876410484314
1789156622974575000,10.6245751953125,1.8704643249511719,-0.1410689353942871,-0.2179168462753296
1789156623034511600,10.68451171875,1.7149438858032227,-0.15815353393554688,1.075899600982666
1789156623094448000,10.7444482421875,0.5223417282104492,-1.40274977684021,-0.4215677082538605
1789156623154415000,10.8044150390625,0.6956043243408203,-0.36893320083618164,-1.0582786798477173
1789156623214321200,10.864321044921875,-0.035511016845703125,-1.5396573543548584,-0.1358613818883896
1789156623274257700,10.924257568359375,-1.0099396705627441,-0.8639066219329834,-0.6089822053909302
1789156623334163700,10.984163818359375,-1.1492090225219727,-0.8709237575531006,-0.2811228036880493
1789156623394130700,11.044130615234375,-0.6296005249023438,-0.7676324844360352,0.13585235178470612
1789156623454067200,11.104067138671875,0.7047004699707031,0.1057443618774414,-0.37192317843437195
1789156623514003700,11.164003662109375,1.0665225982666016,-0.500856876373291,-0.3152889311313629
1789156623573970700,11.223970703125,2.644205093383789,-0.17329692840576172,0.4728456735610962
1789156623633907500,11.283907470703125,1.5757770538330078,-1.8108177185058594,0.3370225727558136
1789156623693844000,11.343843994140625,0.1825103759765625,-1.0807304382324219,0.005094289779663086
1789156623793666800,11.443666748046875,-1.542212963104248,-0.4718446731567383,0.44674044847488403
1789156623853603300,11.503603271484375,-1.988992691040039,0.08054542541503906,0.038029611110687256
1789156623913539800,11.563539794921875,-0.5024557113647461,0.0018415451049804688,0.4439607858657837
1789156623973507000,11.623507080078125,1.0463438034057617,0.42157840728759766,-0.8734610080718994
1789156624033474000,11.68347412109375,2.3189897537231445,0.370114803314209,-0.3226540684700012
1789156624093410600,11.74341064453125,1.878779411315918,0.5364747047424316,1.0015010833740234
1789156624153316600,11.803316650390625,0.892085075378418,-1.6365933418273926,-0.6456648707389832
1789156624273189600,11.923189697265625,-0.5152826309204102,-1.1379656791687012,0.45414602756500244
1789156624333156600,11.983156494140625,-1.6341795921325684,-0.7194180488586426,-0.7111228704452515
1789156624393093000,12.043093017578125,-1.350480079650879,-0.4990241527557373,-0.4979206621646881
1789156624453060000,12.10306005859375,-1.0516791343688965,-0.29527807235717773,-0.8861376643180847
1789156624512996600,12.16299658203125,0.5986948013305664,0.054547786712646484,-0.3473736047744751
1789156624572933000,12.22293310546875,1.411921501159668,0.06475591659545898,0.46500545740127563
1789156624632930800,12.282930908203125,2.163839340209961,-0.014267921447753906,1.0704870223999023
1789156624692897800,12.342897705078125,1.9328575134277344,-0.9593167304992676,1.115065336227417
1789156624752864800,12.40286474609375,0.9166984558105469,-0.8785009384155273,0.3667523264884949
1789156624812832000,12.46283203125,-0.3865985870361328,-0.7240533828735352,1.3787884712219238
1789156624872737800,12.52273779296875,-1.7227497100830078,-0.47969508171081543,1.199385643005371
1789156624932735500,12.582735595703125,-1.8676176071166992,-0.09332656860351562,0.7520307898521423
1789156624992672000,12.642672119140625,-1.0685253143310547,-0.11459112167358398,0.5847821831703186
1789156625052608500,12.7026083984375,0.4170074462890625,0.22039031982421875,-0.4955720901489258
1789156625112514600,12.7625146484375,0.811427116394043,0.32322263717651367,-0.25665736198425293
1789156625172451000,12.822451171875,1.403304100036621,1.1010828018188477,1.289686679840088
1789156625232387600,12.8823876953125,1.511439323425293,-0.5462298393249512,0.8143357038497925
1789156625292293600,12.942293701171875,0.15789413452148438,0.017639636993408203,0.20552140474319458
1789156625352230100,13.002230224609375,-0.08324909210205078,-1.1471776962280273,0.7318751811981201
1789156625412166700,13.062166748046875,-0.4933614730834961,-1.1250176429748535,-0.22967946529388428
