time,accelerometer x,accelerometer y,accelerometer z,gyroscope x,gyroscope y,gyroscope z,latitude,longitude,speed
5.9,0.175629,0.216586,0.420012,-0.186685,-0.082592,-0.01282,30.35178029,76.364528,0.156
6.0,-0.03438,0.44599,-0.512121,-0.000866,-0.281518,-0.045056,30.35178015,76.36452801,0.154
6.1,-0.498291,0.198827,0.599062,0.005565,-0.030439,-0.23551,30.35178002,76.36452801,0.153
6.2,-0.308837,0.048958,-0.363115,0.383172,0.080972,-0.044175,30.35177988,76.36452802,0.151
6.3,-0.276135,-0.069061,0.304472,0.038183,0.171919,0.024308,30.35177974,76.36452803,0.149
6.4,-0.686671,-0.653433,1.550802,-0.265549,0.212692,0.021007,30.35177961,76.36452804,0.148
6.5,-0.745912,-0.688448,0.986661,0.258562,0.203292,0.511852,30.35177948,76.36452805,0.146
6.6,-0.556035,-0.994304,0.425707,0.13706,0.121957,0.387244,30.35177935,76.36452805,0.145
6.7,0.700164,0.332935,-1.688588,0.440003,-0.050538,0.317349,30.35177922,76.36452806,0.143
6.8,0.157315,0.324019,-1.225023,0.156212,-0.118029,-0.030915,30.35177909,76.36452807,0.142
6.9,0.102069,0.043591,1.094048,0.111396,-0.149264,-0.159438,30.35177897,76.36452808,0.14
7.0,0.982075,0.429565,0.250073,-0.207474,0.043704,-0.447217,30.35177884,76.36452809,0.139
7.1,0.788118,0.433337,0.416241,-0.130128,0.013324,-0.353452,30.35177872,76.3645281,0.137
7.2,0.643788,0.068134,-0.70528,0.164513,-0.1083,-0.197231,30.35177859,76.36452811,0.136
7.3,0.282623,-0.112085,-1.303936,0.19726,-0.165547,-0.258814,30.35177847,76.36452812,0.134
7.4,-0.65453,0.221921,0.520643,-0.061356,-0.179366,-0.052461,30.35177835,76.36452813,0.133
7.5,-0.454628,0.757588,-0.133821,0.221899,0.180109,0.334119,30.35177824,76.36452814,0.131
7.6,-0.416259,-0.556905,1.209879,-0.248048,0.107828,-0.097653,30.35177812,76.36452815,0.13
7.7,-0.420634,-0.816693,-0.370883,0.192175,-0.184945,0.099721,30.351778,76.36452817,0.128
7.8,-0.207125,-1.028318,-0.440377,-0.049342,-0.049719,0.061135,30.35177789,76.36452818,0.127
7.9,0.00044,-0.116307,-0.6527,0.044848,0.001471,0.096028,30.35177778,76.36452819,0.126
8.0,0.518311,0.243166,0.925201,-0.074433,-0.274358,-0.02845,30.35177766,76.3645282,0.124
8.1,1.769461,0.110639,1.404723,-0.208263,-0.501921,-0.390852,30.35177755,76.36452821,0.123
8.2,0.311895,-0.353393,0.955091,-0.277346,-0.094185,-0.375334,30.35177744,76.36452823,0.121
8.3,1.144752,-0.170857,-1.683664,0.097818,-0.125527,-0.073135,30.35177734,76.36452824,0.12
8.4,0.636672,0.339203,-0.857862,-0.115115,-0.069913,-0.172617,30.35177723,76.36452825,0.119
8.5,-0.247659,0.191103,0.819923,0.019878,-0.034883,0.081936,30.35177712,76.36452827,0.117
8.6,-1.063163,0.126857,1.120477,0.086835,0.232697,0.321031,30.35177702,76.36452828,0.116
8.7,-1.44621,-0.886674,0.966462,0.106896,0.361404,0.648078,30.35177692,76.36452829,0.115
8.8,-0.245592,-1.030519,-0.164409,0.072232,0.045393,0.434611,30.35177682,76.36452831,0.113
8.9,-0.310385,-0.870825,-1.177889,0.17988,0.063115,0.349129,30.35177672,76.36452832,0.112
9.0,-0.123637,-0.350043,0.561425,0.099069,-0.084222,0.026835,30.35177662,76.36452834,0.111
9.1,0.130362,-1.089685,1.958075,-0.171392,-0.10825,-0.404788,30.35177652,76.36452835,0.109
9.2,0.536406,-1.675804,1.663502,-0.559812,-0.005616,-0.668098,30.35177642,76.36452837,0.108
9.3,1.261895,-0.843823,-0.962155,0.232016,0.170959,-0.042039,30.35177633,76.36452838,0.107
9.4,0.533357,-0.446225,-2.039201,0.039366,-0.067422,-0.215155,30.35177623,76.3645284,0.105
9.5,-0.014526,0.330711,-0.610434,0.050985,-0.04622,-0.07551,30.35177614,76.36452841,0.104
9.6,-1.830112,0.377781,0.782705,-0.068561,0.673005,0.233946,30.35177605,76.36452843,0.103
9.7,-1.28717,-0.532537,2.445708,-0.283896,0.308127,0.254738,30.35177596,76.36452845,0.102
9.8,-0.300908,-0.689007,0.103967,0.191257,-0.361586,0.424556,30.35177587,76.36452846,0.1
9.9,-1.340721,-1.572757,-1.465925,0.28854,0.053954,0.257908,30.35177578,76.36452848,0.099
10.0,-0.358098,-0.963671,-0.365373,0.190472,-0.049809,0.444934,30.35177569,76.3645285,0.098
10.1,0.380592,-0.554978,1.02111,0.081306,-0.173681,-0.018548,30.35177561,76.36452851,0.097
10.2,-0.632804,-1.466964,3.750817,-0.649473,-0.762283,-0.931323,30.35177552,76.36452853,0.096
10.3,0.368954,-0.990987,0.424613,0.230563,0.155107,0.082683,30.35177544,76.36452855,0.094
10.4,0.978823,-0.677201,-1.375951,0.297702,0.175064,-0.071625,30.35177535,76.36452857,0.093
10.5,0.410305,-0.286442,-0.609006,0.079799,0.167525,-0.091471,30.35177527,76.36452859,0.092
10.6,-0.183378,-0.059432,1.154524,-0.18957,-0.028819,0.067392,30.35177519,76.3645286,0.091
10.7,0.688937,-0.479771,1.406762,0.050657,0.093507,0.345925,30.35177511,76.36452862,0.09
10.8,-1.011401,-0.445048,0.682848,-0.291087,0.197458,0.161837,30.35177503,76.36452864,0.089
10.9,-0.4175,-1.137397,-0.615568,-0.140389,-0.07911,0.005393,30.35177496,76.36452866,0.087
11.0,-0.171007,-0.843646,-1.01199,0.028101,-0.272114,0.059239,30.35177488,76.36452868,0.086
11.1,-0.337467,0.046479,0.614158,0.027852,-0.18424,-0.192338,30.35177481,76.3645287,0.085
11.2,0.157804,-0.304233,2.013556,-0.149469,-0.073996,-0.538182,30.35177473,76.36452872,0.084
11.3,0.247902,-1.614794,1.201695,-0.324583,0.179741,-0.679836,30.35177466,76.36452874,0.083
11.4,0.253546,-0.738197,-0.787745,0.020616,0.011948,-0.294,30.35177459,76.36452876,0.082
11.5,0.062601,0.047337,-1.962133,0.29387,-0.123965,-0.248767,30.35177452,76.36452878,0.081
11.6,-0.357034,0.257042,0.439217,-0.165062,0.055313,-0.105723,30.35177445,76.3645288,0.08
11.7,0.042446,0.415984,2.197614,0.079556,0.07778,0.393361,30.35177438,76.36452883,0.079
11.8,-0.554471,-1.516283,0.946713,-0.412804,0.243688,0.209867,30.35177431,76.36452885,0.078
11.9,0.241385,-1.234426,-0.243024,0.202051,-0.254838,0.189724,30.35177424,76.36452887,0.077
12.0,-0.651208,-0.657482,-1.554454,-0.048212,0.081305,0.20301,30.35177418,76.36452889,0.076
12.1,-0.866327,-0.305675,-1.066927,0.141931,-0.040486,0.152308,30.35177411,76.36452891,0.075
12.2,0.15417,0.06085,1.100762,0.220739,-0.070359,0.058118,30.35177405,76.36452894,0.074
12.3,1.083176,-0.283269,2.098092,-0.034646,0.133308,-0.243509,30.35177398,76.36452896,0.073
12.4,0.402501,-0.882362,0.965242,-0.268124,0.197069,-0.269664,30.35177392,76.36452898,0.072
12.5,1.26748,-0.572444,-1.215601,0.25596,-0.019737,-0.043484,30.35177386,76.364529,0.071
12.6,0.703856,-0.099452,-1.637443,0.038028,-0.08365,-0.187711,30.3517738,76.36452903,0.07
12.7,-0.448556,0.205812,0.352358,-0.070875,-0.003452,0.046947,30.35177374,76.36452905,0.069
12.8,0.710453,0.80971,1.181597,0.398346,0.27289,0.787984,30.35177368,76.36452908,0.068
12.9,0.635345,-0.380453,1.113498,-0.255306,0.130633,0.298459,30.35177363,76.3645291,0.067
13.0,0.71229,-1.103835,-0.074276,-0.218024,-0.172363,-0.102643,30.35177357,76.36452912,0.067
13.1,0.313816,-0.77855,-0.868227,-0.122168,-0.027678,0.117138,30.35177351,76.36452915,0.066
13.2,0.076536,-0.343686,-0.437102,0.030877,-0.363485,0.010161,30.35177346,76.36452917,0.065
13.3,1.051616,-0.58179,2.085067,0.318736,-0.069829,-0.191844,30.35177341,76.3645292,0.064
13.4,0.467909,-0.695545,1.526323,-0.154955,0.090648,-0.606296,30.35177335,76.36452922,0.063
13.5,0.495642,-1.073547,0.657069,-0.811161,0.507765,0.059353,30.3517733,76.36452925,0.062
13.6,1.078085,-0.584445,-0.657595,0.837311,-0.581379,-0.433428,30.35177325,76.36452928,0.062
13.7,1.020853,-0.317638,-1.243355,-0.11209,-0.155615,-0.128969,30.3517732,76.3645293,0.061
13.8,0.241731,0.160721,1.070643,-0.196839,0.138152,0.0468,30.35177315,76.36452933,0.06
13.9,1.148734,0.894822,1.217601,0.068911,0.031084,0.285986,30.3517731,76.36452936,0.059
14.0,-0.414293,-0.164225,1.328674,-0.327518,0.708887,0.555361,30.35177306,76.36452938,0.058
14.1,0.873416,-0.62684,-0.994244,0.201362,-0.05049,0.317055,30.35177301,76.36452941,0.058
14.2,0.491786,-0.501146,-0.815947,-0.025286,-0.119175,0.102065,30.35177296,76.36452944,0.057
14.3,0.083627,-0.174431,-0.299506,0.301488,-0.232172,-0.055414,30.35177292,76.36452946,0.056
14.4,0.289431,-0.401819,1.716358,0.020625,-0.211867,-0.286971,30.35177287,76.36452949,0.056
14.5,0.734599,-0.108052,1.128036,-0.236043,-0.248318,-0.56026,30.35177283,76.36452952,0.055
14.6,0.732826,-0.558566,-0.407004,-0.148303,-0.003889,-0.49682,30.35177279,76.36452955,0.054
14.7,0.516587,-0.184369,-1.767851,0.006257,-0.035851,-0.38225,30.35177275,76.36452958,0.054
14.8,0.467104,0.204449,-0.990212,-0.047073,-0.139077,-0.298426,30.35177271,76.36452961,0.053
14.9,-0.754065,0.666948,1.389384,-0.198745,0.023298,-0.022545,30.35177267,76.36452963,0.052
15.0,-0.958727,-0.015564,1.5568,-0.234708,0.301547,0.167193,30.35177263,76.36452966,0.052
15.1,0.02503,0.53701,0.329694,0.047,-0.334746,0.361297,30.35177259,76.36452969,0.051
15.2,-0.072229,-0.263084,-1.286868,0.098807,-0.052178,0.19224,30.35177255,76.36452972,0.051
15.3,-0.179782,0.172607,-1.6037,0.191105,-0.112592,0.13069,30.35177251,76.36452975,0.05
15.4,-0.100282,0.201377,0.451271,0.178163,-0.269552,-0.056439,30.35177248,76.36452978,0.05
15.5,0.581022,-0.051189,1.363594,-0.222708,-0.159415,-0.487963,30.35177244,76.36452981,0.049
15.6,-0.000492,-0.784864,1.324836,-0.368766,0.109348,-0.362858,30.35177241,76.36452985,0.049
15.7,0.632428,-0.202303,-1.321108,-0.039981,0.009756,0.012693,30.35177237,76.36452988,0.048
15.8,0.468958,0.333159,-1.695574,0.010627,-0.035396,-0.087172,30.35177234,76.36452991,0.048
15.9,-0.149662,0.48268,0.090213,0.012451,0.058696,0.060984,30.3517723,76.36452994,0.047
16.0,-1.307499,0.656672,1.074927,-0.097267,0.45895,0.390324,30.35177227,76.36452997,0.047
16.1,-0.312411,-0.529878,1.836746,-0.256226,0.218844,0.398981,30.35177224,76.36453,0.046
16.2,0.695379,-1.023334,-0.77847,0.1296,-0.174824,0.294937,30.35177221,76.36453003,0.046
16.3,0.094292,-0.965688,-1.918276,0.332037,0.037536,0.232761,30.35177218,76.36453007,0.046
16.4,-0.010059,-0.583121,0.190862,0.129085,-0.206342,0.081324,30.35177215,76.3645301,0.045
16.5,0.331881,0.375032,1.592385,-0.026775,-0.069301,-0.282041,30.35177212,76.36453013,0.045
16.6,-0.425607,-1.803977,2.937464,-0.453451,0.432327,-0.802612,30.35177209,76.36453017,0.044
16.7,0.456791,-0.320655,-1.467132,0.055336,0.073792,0.008839,30.35177207,76.3645302,0.044
16.8,0.656466,0.120904,-2.18416,0.096417,-0.032868,0.017438,30.35177204,76.36453023,0.044
16.9,0.100287,0.685864,-0.369509,0.081644,-0.003973,-0.083731,30.35177201,76.36453027,0.044
17.0,-0.319822,1.068421,1.182684,0.202063,0.330116,0.266926,30.35177199,76.3645303,0.043
17.1,0.168166,-0.078946,1.94599,-0.348658,0.066159,0.093089,30.35177196,76.36453034,0.043
17.2,1.142197,-0.27576,-0.097939,0.139625,-0.429025,0.208993,30.35177194,76.36453037,0.043
17.3,0.184094,-0.437111,-1.83221,0.361648,-0.102069,0.311082,30.35177192,76.3645304,0.042
17.4,-0.088027,-0.118114,-1.161127,0.154846,-0.166703,0.091659,30.35177189,76.36453044,0.042
17.5,0.233743,0.001212,1.102577,0.135714,-0.10577,-0.164247,30.35177187,76.36453047,0.042
17.6,1.252836,-0.095346,2.338968,-0.535065,-0.416902,-0.724262,30.35177185,76.36453051,0.042
17.7,0.767554,-0.620544,-0.24877,-0.017997,0.011613,-0.376148,30.35177183,76.36453055,0.042
17.8,0.385035,-0.179296,-2.035846,-0.032318,-0.013618,-0.307147,30.35177181,76.36453058,0.042
17.9,0.632152,0.40022,-0.971503,-0.02419,-0.196379,-0.167994,30.35177179,76.36453062,0.041
18.0,-0.048956,0.711093,2.134039,-0.084764,0.105773,0.135861,30.35177177,76.36453066,0.041
18.1,0.137395,0.07535,1.904366,-0.153574,0.566483,0.185093,30.35177175,76.36453069,0.041
18.2,-0.035039,0.124474,0.017205,0.700612,-0.277477,0.653791,30.35177173,76.36453073,0.041
18.3,0.118334,-0.867039,-1.712186,0.228398,-0.067257,0.243829,30.35177171,76.36453077,0.041
18.4,-0.179831,-0.575027,-2.00686,0.253524,-0.073361,0.14682,30.35177169,76.3645308,0.041
18.5,-0.127556,0.089173,0.310587,0.140889,-0.213909,-0.082304,30.35177168,76.36453084,0.041
18.6,0.943162,0.188233,1.341886,-0.244387,-0.201179,-0.302462,30.35177166,76.36453088,0.041
18.7,0.179182,-0.691664,1.620406,-0.430433,0.052666,-0.44226,30.35177164,76.36453092,0.041
18.8,0.356626,-0.265622,-1.440362,0.032254,0.076574,-0.081202,30.35177163,76.36453096,0.041
18.9,0.545007,0.424208,-2.185315,0.006635,0.011041,-0.152926,30.35177161,76.36453099,0.041
19.0,-0.086457,0.772756,-0.107029,-0.134526,-0.057761,-0.06721,30.3517716,76.36453103,0.041
19.1,-1.17068,0.867144,2.340558,0.006117,0.200448,0.349848,30.35177158,76.36453107,0.041
19.2,-1.02662,-0.647318,1.604529,-0.151908,0.358568,0.373751,30.35177157,76.36453111,0.041
19.3,0.511818,-0.79271,-0.579651,0.095073,-0.060167,0.332091,30.35177156,76.36453115,0.041
19.4,0.033411,-0.930991,-1.576251,0.189474,0.063912,0.288106,30.35177154,76.36453119,0.041
19.5,-0.315591,-0.316962,-0.590081,0.173103,-0.151729,0.216619,30.35177153,76.36453123,0.041
19.6,0.393906,0.14435,0.777621,0.024412,-0.100115,-0.011639,30.35177152,76.36453127,0.041
19.7,0.956632,-0.367579,3.82597,-0.817844,-0.30923,-0.735358,30.35177151,76.36453131,0.041
19.8,0.708545,-0.46804,-0.019458,0.246388,0.147102,-0.204524,30.3517715,76.36453135,0.041
19.9,0.930106,-0.431685,-2.551967,0.207566,0.075798,-0.196446,30.35177149,76.36453139,0.041
20.0,0.693308,0.044497,-1.736908,-0.141299,-0.037029,-0.224139,30.35177148,76.36453144,0.041
20.1,0.069396,0.941735,0.848557,-0.190565,-0.117018,0.051655,30.35177147,76.36453148,0.041
20.2,-0.515397,0.991137,1.633572,-0.248032,0.121458,0.063867,30.35177146,76.36453152,0.042
20.3,-2.062834,-0.624792,1.59092,-0.137983,0.347979,0.537401,30.35177145,76.36453156,0.042
20.4,-0.175536,-0.541058,-0.885079,-0.003694,0.000641,0.604447,30.35177144,76.3645316,0.042
20.5,-0.304476,-0.377744,-1.908826,0.237496,-0.030354,0.510203,30.35177143,76.36453164,0.042
20.6,-0.364006,0.477128,-0.386654,0.12525,-0.032641,0.275981,30.35177142,76.36453169,0.042
20.7,0.75878,0.160747,2.298927,0.053388,0.28097,-0.233389,30.35177141,76.36453173,0.042
20.8,0.37411,-0.823278,1.683792,0.10116,-0.072587,-0.48996,30.35177141,76.36453177,0.042
20.9,-0.356102,-0.857702,-0.763039,-0.082701,0.061535,-0.03464,30.3517714,76.36453182,0.042
21.0,-0.613682,-0.729429,-1.951005,0.075592,0.112018,0.094322,30.35177139,76.36453186,0.043
21.1,-0.821976,0.101537,-0.997133,-0.099869,-0.090899,0.301326,30.35177139,76.3645319,0.043
21.2,-1.594921,0.601457,0.972754,0.073999,0.277489,0.945805,30.35177138,76.36453195,0.043
21.3,-1.746975,-1.019941,3.242725,-0.375893,0.195446,1.085243,30.35177137,76.36453199,0.043
21.4,-1.698113,-1.413948,1.48107,0.121596,0.370607,1.796342,30.35177137,76.36453204,0.043
21.5,-0.673261,-1.835226,-1.264398,0.059077,0.563558,1.620328,30.35177136,76.36453208,0.044
21.6,-0.523477,-1.245778,-0.691589,0.183559,0.17994,1.285822,30.35177136,76.36453213,0.044
21.7,-1.022067,-0.558045,0.729203,0.119071,0.290121,0.695313,30.35177135,76.36453217,0.044
21.8,0.688561,-0.2902,2.151577,-0.354757,0.610233,0.48894,30.35177135,76.36453222,0.044
21.9,-0.503316,-0.873582,0.953557,-0.091384,0.506926,0.444942,30.35177134,76.36453226,0.044
22.0,-0.202245,-0.609423,-1.66902,0.062327,0.387196,0.740606,30.35177134,76.36453231,0.044
22.1,-0.315789,-0.058947,-1.853103,-0.02607,0.233818,0.763041,30.35177134,76.36453236,0.045
22.2,-0.488538,0.315115,0.314952,0.073708,0.350135,0.684469,30.35177133,76.3645324,0.045
22.3,-0.946117,0.297867,1.725951,0.060267,0.553215,0.954771,30.35177133,76.36453245,0.045
22.4,-1.523773,-0.854318,1.789494,-0.207431,0.229336,0.994462,30.35177133,76.3645325,0.045
22.5,-0.804478,-1.526557,-1.011914,0.006818,0.23689,0.802469,30.35177132,76.36453254,0.045
22.6,-1.546439,-1.189368,-2.052934,-0.018872,0.048081,0.854737,30.35177132,76.36453259,0.046
22.7,-0.239394,-0.599804,0.101268,0.122651,-0.093159,0.669536,30.35177132,76.36453264,0.046
22.8,0.695683,-0.349795,1.418647,-0.114378,-0.034434,0.16654,30.35177132,76.36453269,0.046
22.9,0.776397,-1.581137,1.200505,-0.604974,-0.320095,-1.024726,30.35177132,76.36453273,0.046
23.0,-0.180319,-0.308761,0.716561,-0.276751,0.156235,-0.375976,30.35177131,76.36453278,0.047
23.1,0.35585,0.266631,-2.178101,0.383992,0.184672,0.04882,30.35177131,76.36453283,0.047
23.2,0.749054,0.471701,-1.116712,0.340156,-0.347153,-0.019887,30.35177131,76.36453288,0.047
23.3,-0.291657,0.686657,1.655277,0.174749,-0.126276,0.344587,30.35177131,76.36453293,0.047
23.4,0.297637,0.161747,2.372902,-0.285587,0.127899,0.322966,30.35177131,76.36453298,0.047
23.5,0.25687,-0.319261,-0.453593,-0.0268,0.633343,0.628366,30.35177131,76.36453303,0.048
23.6,-0.155207,-0.815293,-1.147436,-0.100745,0.351009,0.411891,30.35177131,76.36453308,0.048
23.7,-0.032674,-0.128474,-1.901962,0.487441,-0.01872,0.265914,30.3517713,76.36453313,0.048
23.8,-0.377452,-0.239796,1.287809,0.150541,-0.175343,-0.094984,30.3517713,76.36453318,0.048
23.9,0.815119,-0.223316,2.594653,-0.318762,-0.24217,-0.607669,30.3517713,76.36453323,0.049
24.0,-0.16648,-1.023624,0.650026,-0.068156,0.310968,-0.324627,30.3517713,76.36453328,0.049
24.1,0.855526,-0.352751,-2.004267,-0.105898,0.194721,-0.191245,30.3517713,76.36453333,0.049
24.2,0.957891,0.2146,-2.087993,0.326672,0.157413,-0.054152,30.3517713,76.36453338,0.049
24.3,0.256206,0.567493,-0.560709,-0.208877,0.113374,-0.036677,30.3517713,76.36453343,0.049
24.4,-0.926238,0.703415,3.153475,-0.434319,0.422064,0.557239,30.3517713,76.36453348,0.05
24.5,-0.351519,-0.478697,0.291891,0.069278,0.280484,0.389081,30.3517713,76.36453353,0.05
24.6,0.386551,-0.921569,-1.43037,-0.07095,0.046872,-0.01753,30.3517713,76.36453359,0.05
24.7,0.128816,-0.638135,-1.583355,0.184312,-0.169056,0.111466,30.3517713,76.36453364,0.05
24.8,0.195979,-0.095491,0.293911,0.153866,-0.30027,0.011954,30.3517713,76.36453369,0.051
24.9,0.089004,-0.526744,1.800299,0.044422,0.186634,-0.104065,30.3517713,76.36453374,0.051
25.0,0.470771,-0.842457,1.933483,-0.334114,0.022683,-0.677394,30.3517713,76.3645338,0.051
25.1,0.621321,-0.486442,-1.321788,0.114816,0.012049,-0.190302,30.3517713,76.36453385,0.051
25.2,0.77953,0.152808,-2.544629,0.039033,-0.00595,-0.327553,30.3517713,76.3645339,0.056
